geo_key,locator_type,n_listings,sites,building_name,locality,address,geocode_query_hint,geocode_from_site,geocode_from_listing_id,done
B|godrej royale woods|devanahalli,building,8,99acres,Godrej Royale Woods,Devanahalli,,"Godrej Royale Woods, Devanahalli, Bengaluru",99acres,A90795844,
B|krishnaproperties|1st stage indira nagar,building,1,99acres,krishnaproperties,1st Stage Indira Nagar,,"krishnaproperties, 1st Stage Indira Nagar, Bengaluru",99acres,O81072541,
B|colive brisbane|btm layout,building,1,99acres,Colive Brisbane,BTM Layout,,"Colive Brisbane, BTM Layout, Bengaluru",99acres,R48985505,
B|luxury homes|neeladri nagar,building,1,99acres,luxury homes,Neeladri Nagar,,"luxury homes, Neeladri Nagar, Bengaluru",99acres,D91748762,
B|hut living arekere|bts layout,building,1,99acres,hut living arekere,BTS Layout,,"hut living arekere, BTS Layout, Bengaluru",99acres,R91827318,
B|raghib house|shikaripalya,building,1,99acres,Raghib House,Shikaripalya,,"Raghib House, Shikaripalya, Bengaluru",99acres,V90393404,
B|vkms sai tranquil|neeladri nagar,building,1,99acres,VKMs Sai Tranquil,Neeladri Nagar,,"VKMs Sai Tranquil, Neeladri Nagar, Bengaluru",99acres,O91268890,
B|pavya apartments|kodathi,building,1,99acres,Pavya Apartments,Kodathi,,"Pavya Apartments, Kodathi, Bengaluru",99acres,P91768656,
B|private housing|sachidananda nagar,building,1,99acres,Private housing,Sachidananda Nagar,,"Private housing, Sachidananda Nagar, Bengaluru",99acres,H39856551,
B|royal enclave|srirampura jakkur,building,1,99acres,Royal Enclave,Srirampura Jakkur,,"Royal Enclave, Srirampura Jakkur, Bengaluru",99acres,K91751238,
B|krishnaproperties|indira nagar stage 2,building,1,99acres,krishnaproperties,Indira Nagar Stage 2,,"krishnaproperties, Indira Nagar Stage 2, Bengaluru",99acres,U81063095,
B|sunshine|kodihalli,building,1,99acres,Sunshine,Kodihalli,,"Sunshine, Kodihalli, Bengaluru",99acres,J91748608,
B|apple residency|tech city layout,building,1,99acres,apple residency,Tech City Layout,,"apple residency, Tech City Layout, Bengaluru",99acres,N85212516,
B|bhartiya city nikoo homes 1|thanisandra,building,1,99acres,Bhartiya City Nikoo Homes 1,Thanisandra,,"Bhartiya City Nikoo Homes 1, Thanisandra, Bengaluru",99acres,H91715128,
B|rvs|manjunatha layout munnekollal,building,1,99acres,Rvs,Manjunatha Layout Munnekollal,,"Rvs, Manjunatha Layout Munnekollal, Bengaluru",99acres,Z83595090,
B|it meadows|pattandur agrahara,building,1,99acres,IT Meadows,Pattandur Agrahara,,"IT Meadows, Pattandur Agrahara, Bengaluru",99acres,M91681862,
B|orion home koramangla|8th block koramangala,building,1,99acres,orion home koramangla,8th block Koramangala,,"orion home koramangla, 8th block Koramangala, Bengaluru",99acres,Y72847187,
B|ekta living|kadubeesanahalli,building,1,99acres,Ekta Living,Kadubeesanahalli,,"Ekta Living, Kadubeesanahalli, Bengaluru",99acres,D90287654,
B|krushnaproperties|cambridge layout,building,1,99acres,krushnaproperties,Cambridge Layout,,"krushnaproperties, Cambridge Layout, Bengaluru",99acres,X81891234,
B|no sandeep sanjana|green woods layout,building,1,99acres,no sandeep sanjana,Green Woods Layout,,"no sandeep sanjana, Green Woods Layout, Bengaluru",99acres,Z90170124,
B|the address flats|bellandur,building,1,99acres,THE ADDRESS FLATS,Bellandur,,"THE ADDRESS FLATS, Bellandur, Bengaluru",99acres,X83952708,
B|eemo living|whitefield,building,1,99acres,EEMO LIVING,Whitefield,,"EEMO LIVING, Whitefield, Bengaluru",99acres,F87065982,
B|star homes borewell road whitefield|dodsworth layout,building,1,99acres,"STAR HOMES, BOREWELL ROAD, WHITEFIELD",Dodsworth Layout,,"STAR HOMES, BOREWELL ROAD, WHITEFIELD, Dodsworth Layout, Bengaluru",99acres,P88256732,
B|sitara building|hale devasandra,building,1,99acres,sitara building,Hale Devasandra,,"sitara building, Hale Devasandra, Bengaluru",99acres,B88899668,
B|colive atlanta|aecs layout,building,1,99acres,Colive Atlanta,AECS Layout,,"Colive Atlanta, AECS Layout, Bengaluru",99acres,A46637021,
B|colive edison|marathahalli,building,1,99acres,Colive Edison,Marathahalli,,"Colive Edison, Marathahalli, Bengaluru",99acres,S55809584,
B|praveen residency|whitefield,building,1,99acres,Praveen Residency,Whitefield,,"Praveen Residency, Whitefield, Bengaluru",99acres,S50686560,
B|rekhi brooklyn|maruthi sevanagar,building,1,99acres,Rekhi Brooklyn,Maruthi Sevanagar,,"Rekhi Brooklyn, Maruthi Sevanagar, Bengaluru",99acres,R91197178,
B|vasantha bhavan|btm layout,building,1,99acres,Vasantha Bhavan,BTM Layout,,"Vasantha Bhavan, BTM Layout, Bengaluru",99acres,A89683562,
B|msr homes|bellandur,building,1,99acres,MSR Homes,Bellandur,,"MSR Homes, Bellandur, Bengaluru",99acres,X91002648,
B|sri hanuman royal homes|sarjapur road,building,1,99acres,Sri Hanuman Royal Homes,Sarjapur Road,,"Sri Hanuman Royal Homes, Sarjapur Road, Bengaluru",99acres,F90734864,
B|colive coronet spacoius flat|whitefield,building,1,99acres,Colive coronet Spacoius Flat,Whitefield,,"Colive coronet Spacoius Flat, Whitefield, Bengaluru",99acres,A50510872,
B|colive carolina 1bhk|mahadevapura,building,1,99acres,Colive Carolina-1bhk,Mahadevapura,,"Colive Carolina-1bhk, Mahadevapura, Bengaluru",99acres,E81317477,
B|darwin|btm layout,building,1,99acres,Darwin,BTM Layout,,"Darwin, BTM Layout, Bengaluru",99acres,V41201513,
B|s v anugraha kavalbyrasandra r t nagar|kaval byrasandra,building,1,99acres,"S.V. Anugraha, Kavalbyrasandra,R.T.Nagar",Kaval Byrasandra,,"S.V. Anugraha, Kavalbyrasandra,R.T.Nagar, Kaval Byrasandra, Bengaluru",99acres,H89290891,
B|mg 466 homes|electronic city,building,1,99acres,MG 466 Homes,Electronic City,,"MG 466 Homes, Electronic City, Bengaluru",99acres,U90718744,
B|godrej ananda|bagalur,building,1,99acres,Godrej Ananda,Bagalur,,"Godrej Ananda, Bagalur, Bengaluru",99acres,A91493550,
B|sai krupa|rt nagar,building,1,99acres,Sai Krupa,RT Nagar,,"Sai Krupa, RT Nagar, Bengaluru",99acres,R91540786,
B|felix e homes|btm layout,building,1,99acres,Felix-E homes,BTM Layout,,"Felix-E homes, BTM Layout, Bengaluru",99acres,L91431450,
B|vow coliving|marathahalli,building,1,99acres,Vow Coliving,Marathahalli,,"Vow Coliving, Marathahalli, Bengaluru",99acres,O89836470,
B|royal meenakshi mall|hulimavu,building,1,99acres,Royal Meenakshi Mall,Hulimavu,,"Royal Meenakshi Mall, Hulimavu, Bengaluru",99acres,E90809924,
B|sivani blossom house|kudlu gate,building,1,99acres,sivani blossom house,Kudlu Gate,,"sivani blossom house, Kudlu Gate, Bengaluru",99acres,U90900894,
B|ne apartment|doddathoguru,building,1,99acres,NE Apartment,Doddathoguru,,"NE Apartment, Doddathoguru, Bengaluru",99acres,D91589232,
B|rp residency|sri venkateswara layout,building,1,99acres,RP Residency,Sri Venkateswara Layout,,"RP Residency, Sri Venkateswara Layout, Bengaluru",99acres,E87893626,
B|sathiyarani|quantum venture landmark layout,building,1,99acres,Sathiyarani,Quantum venture landmark layout,,"Sathiyarani, Quantum venture landmark layout, Bengaluru",99acres,R90760014,
B|vasantha suites|madiwala,building,1,99acres,Vasantha Suites,Madiwala,,"Vasantha Suites, Madiwala, Bengaluru",99acres,C89795536,
B|flokq coliving|marathahalli,building,1,99acres,Flokq Coliving,Marathahalli,,"Flokq Coliving, Marathahalli, Bengaluru",99acres,P89557034,
B|sl ladies pg|bellandur,building,1,99acres,SL Ladies PG,Bellandur,,"SL Ladies PG, Bellandur, Bengaluru",99acres,K90111822,
B|colive adelaide|ns palya,building,1,99acres,Colive Adelaide,NS Palya,,"Colive Adelaide, NS Palya, Bengaluru",99acres,V75097293,
B|colive heritage|btm layout,building,1,99acres,Colive Heritage,BTM Layout,,"Colive Heritage, BTM Layout, Bengaluru",99acres,K41699927,
B|darwin btm layout|btm layout,building,1,99acres,Darwin BTM Layout,BTM Layout,,"Darwin BTM Layout, BTM Layout, Bengaluru",99acres,O41412753,
B|colive 477 athens|pattandur agrahara,building,1,99acres,Colive 477 Athens,Pattandur Agrahara,,"Colive 477 Athens, Pattandur Agrahara, Bengaluru",99acres,M54674258,
B|colive morristown|sr naidu layout,building,1,99acres,colive morristown,SR Naidu Layout,,"colive morristown, SR Naidu Layout, Bengaluru",99acres,K79112625,
B|colive 169 alpha|sarjapur road,building,1,99acres,Colive 169 Alpha,Sarjapur Road,,"Colive 169 Alpha, Sarjapur Road, Bengaluru",99acres,F54644690,
B|nesto coliving pg|btm layout,building,1,99acres,Nesto Coliving PG,BTM Layout,,"Nesto Coliving PG, BTM Layout, Bengaluru",99acres,M90113230,
B|colive morristown|hongasandra,building,1,99acres,Colive Morristown,Hongasandra,,"Colive Morristown, Hongasandra, Bengaluru",99acres,V80774859,
B|morristown|maruthi layout,building,1,99acres,Morristown,Maruthi Layout,,"Morristown, Maruthi Layout, Bengaluru",99acres,G81334935,
B|canberra|btm 2nd stage,building,1,99acres,Canberra,BTM 2nd Stage,,"Canberra, BTM 2nd Stage, Bengaluru",99acres,L41365929,
B|adelaide|btm 2nd stage,building,1,99acres,Adelaide,BTM 2nd Stage,,"Adelaide, BTM 2nd Stage, Bengaluru",99acres,V41470355,
B|colive canberra|btm 2nd stage,building,1,99acres,CoLive Canberra,BTM 2nd Stage,,"CoLive Canberra, BTM 2nd Stage, Bengaluru",99acres,N41635775,
B|brisbane|btm 2nd stage,building,1,99acres,Brisbane,BTM 2nd Stage,,"Brisbane, BTM 2nd Stage, Bengaluru",99acres,N41470569,
B|colive haritage|btm 2nd stage,building,1,99acres,Colive Haritage,BTM 2nd Stage,,"Colive Haritage, BTM 2nd Stage, Bengaluru",99acres,K42672497,
B|nesto aloha|hsr layout,building,1,99acres,Nesto Aloha,HSR Layout,,"Nesto Aloha, HSR Layout, Bengaluru",99acres,L89848726,
B|colive adelaide|btm 1st stage,building,1,99acres,colive Adelaide,BTM 1st Stage,,"colive Adelaide, BTM 1st Stage, Bengaluru",99acres,L42607163,
B|heritage flats|btm 1st stage,building,1,99acres,HERITAGE FLATS,BTM 1st Stage,,"HERITAGE FLATS, BTM 1st Stage, Bengaluru",99acres,R83986124,
B|rio grande|aecs layout,building,1,99acres,Rio Grande,AECS Layout,,"Rio Grande, AECS Layout, Bengaluru",99acres,K46321295,
B|nsr coliving|indiranagar,building,1,99acres,NSR COliving,Indiranagar,,"NSR COliving, Indiranagar, Bengaluru",99acres,X89849174,
B|valencia|btm layout,building,1,99acres,valencia,BTM Layout,,"valencia, BTM Layout, Bengaluru",99acres,U41492827,
B|brighton 1bhk|dollar layout,building,1,99acres,BRIGHTON 1BHK,Dollar Layout,,"BRIGHTON 1BHK, Dollar Layout, Bengaluru",99acres,V84337500,
B|canberra 1bhk|ns palya,building,1,99acres,CANBERRA 1BHK,NS Palya,,"CANBERRA 1BHK, NS Palya, Bengaluru",99acres,L84338778,
B|riga flats|ns palya,building,1,99acres,RIGA FLATS,NS Palya,,"RIGA FLATS, NS Palya, Bengaluru",99acres,Q83953194,
B|colive darwin|btm 2nd stage,building,1,99acres,Colive Darwin,BTM 2nd Stage,,"Colive Darwin, BTM 2nd Stage, Bengaluru",99acres,J41346983,
B|brighton flats|madiwala,building,1,99acres,brighton flats,Madiwala,,"brighton flats, Madiwala, Bengaluru",99acres,M83980034,
B|on request|lakshminarayana pura,building,1,99acres,On request,Lakshminarayana Pura,,"On request, Lakshminarayana Pura, Bengaluru",99acres,I87163702,
B|colive denver|marathahalli,building,1,99acres,Colive Denver,Marathahalli,,"Colive Denver, Marathahalli, Bengaluru",99acres,O42897547,
B|colive valencia|tavarekere,building,1,99acres,Colive Valencia,Tavarekere,,"Colive Valencia, Tavarekere, Bengaluru",99acres,Y75098085,
B|colive canberra|ns palya,building,1,99acres,colive canberra,NS Palya,,"colive canberra, NS Palya, Bengaluru",99acres,X42608369,
B|colive adelaide|btm layout,building,1,99acres,colive Adelaide,BTM Layout,,"colive Adelaide, BTM Layout, Bengaluru",99acres,H42606675,
B|colive manchester|itpl,building,1,99acres,Colive Manchester,ITPL,,"Colive Manchester, ITPL, Bengaluru",99acres,K79492197,
B|helena|kasavanahalli village,building,1,99acres,Helena,Kasavanahalli Village,,"Helena, Kasavanahalli Village, Bengaluru",99acres,F81325715,
B|btm 2nd stage|1oth cross road,building,1,99acres,Btm 2nd stage,1oth cross road,,"Btm 2nd stage, 1oth cross road, Bengaluru",99acres,S56163088,
B|colive coronet|prasanth layout,building,1,99acres,Colive Coronet,Prasanth Layout,,"Colive Coronet, Prasanth Layout, Bengaluru",99acres,Y79775245,
B|pr residency|pragathi layout,building,1,99acres,PR Residency,Pragathi Layout,,"PR Residency, Pragathi Layout, Bengaluru",99acres,M89622848,
B|nestro coliving|hsr extension,building,1,99acres,Nestro coliving,HSR Extension,,"Nestro coliving, HSR Extension, Bengaluru",99acres,Z89620056,
B|valencia 1bhk|madiwala,building,1,99acres,VALENCIA 1BHK,Madiwala,,"VALENCIA 1BHK, Madiwala, Bengaluru",99acres,O84337926,
B|colive santaclara|lakshminarayana pura,building,1,99acres,colive santaclara,Lakshminarayana Pura,,"colive santaclara, Lakshminarayana Pura, Bengaluru",99acres,J40993963,
B|drava|dodda nekkundi,building,1,99acres,Drava,Dodda Nekkundi,,"Drava, Dodda Nekkundi, Bengaluru",99acres,J46321763,
B|cs residency|pragathi layout,building,1,99acres,CS Residency,Pragathi Layout,,"CS Residency, Pragathi Layout, Bengaluru",99acres,L90367482,
B|sri mahadeva coliving|marathahalli,building,1,99acres,Sri Mahadeva Coliving,Marathahalli,,"Sri Mahadeva Coliving, Marathahalli, Bengaluru",99acres,M89557882,
B|colive atlanta|anand nagar,building,1,99acres,Colive Atlanta,Anand Nagar,,"Colive Atlanta, Anand Nagar, Bengaluru",99acres,O79495159,
B|reddy enclave electronic city phase 2|electronic city phase 2,building,1,99acres,Reddy enclave electronic city phase 2,Electronic City Phase 2,,"Reddy enclave electronic city phase 2, Electronic City Phase 2, Bengaluru",99acres,K78437817,
B|colive 162 canberra|madiwala,building,1,99acres,Colive 162 Canberra,Madiwala,,"Colive 162 Canberra, Madiwala, Bengaluru",99acres,C75097103,
B|anil residency|b narayanapura,building,1,99acres,Anil Residency,B Narayanapura,,"Anil Residency, B Narayanapura, Bengaluru",99acres,E91572242,
B|morristown flats|begur,building,1,99acres,MORRISTOWN FLATS,Begur,,"MORRISTOWN FLATS, Begur, Bengaluru",99acres,U83952566,
B|darwin|btm 2nd stage,building,1,99acres,Darwin,BTM 2nd Stage,,"Darwin, BTM 2nd Stage, Bengaluru",99acres,E41325223,
B|not applicable|someshwarpura,building,1,99acres,not applicable,Someshwarpura,,"not applicable, Someshwarpura, Bengaluru",99acres,O91593592,
B|appartment|krishna layout,building,1,99acres,Appartment,Krishna Layout,,"Appartment, Krishna Layout, Bengaluru",99acres,H91590644,
B|nova residences|thirumenahalli,building,1,99acres,Nova Residences,Thirumenahalli,,"Nova Residences, Thirumenahalli, Bengaluru",99acres,R91583666,
B|sowparnika indradhanush|hoskote,building,1,99acres,Sowparnika Indradhanush,Hoskote,,"Sowparnika Indradhanush, Hoskote, Bengaluru",99acres,P91576730,
B|sai meridein|kumarapalli,building,1,99acres,Sai meridein,Kumarapalli,,"Sai meridein, Kumarapalli, Bengaluru",99acres,H91567256,
B|helloworld veridian69|arekere,building,1,99acres,HelloWorld Veridian69,Arekere,,"HelloWorld Veridian69, Arekere, Bengaluru",99acres,G84093966,
B|helloworld hanover|hsr layout,building,1,99acres,HelloWorld Hanover,HSR Layout,,"HelloWorld Hanover, HSR Layout, Bengaluru",99acres,H83494326,
B|patel neotown smondo 3|electronic city,building,1,99acres,Patel Neotown Smondo 3,Electronic City,,"Patel Neotown Smondo 3, Electronic City, Bengaluru",99acres,L91553612,
B|propzone sree utopia|kadubeesanahalli,building,1,99acres,PropZone Sree Utopia,Kadubeesanahalli,,"PropZone Sree Utopia, Kadubeesanahalli, Bengaluru",99acres,A91544750,
B|rs dinesh|bellandur,building,1,99acres,RS DINESH,Bellandur,,"RS DINESH, Bellandur, Bengaluru",99acres,U91537760,
B|far|mahadeshwara nagar,building,1,99acres,FAR,Mahadeshwara Nagar,,"FAR, Mahadeshwara Nagar, Bengaluru",99acres,B91499580,
B|celestia by stayease|malleshwaram,building,1,99acres,Celestia By StayEase,Malleshwaram,,"Celestia By StayEase, Malleshwaram, Bengaluru",99acres,S91495046,
B|krishnaproperties|indira nagar 3rd stage,building,1,99acres,krishnaproperties,Indira Nagar 3rd Stage,,"krishnaproperties, Indira Nagar 3rd Stage, Bengaluru",99acres,U81508907,
B|vb apartment in|4th phase jp nagar,building,1,99acres,VB APARTMENT IN,4th Phase JP Nagar,,"VB APARTMENT IN, 4th Phase JP Nagar, Bengaluru",99acres,H91108582,
B|luxspaces santorini|yelahanka,building,1,99acres,luxspaces santorini,Yelahanka,,"luxspaces santorini, Yelahanka, Bengaluru",99acres,O91473586,
B|shi yellama devi badavane|electronic city phase 2,building,1,99acres,Shi yellama Devi Badavane,Electronic City Phase 2,,"Shi yellama Devi Badavane, Electronic City Phase 2, Bengaluru",99acres,W91461992,
B|sri sai|bommanahalli,building,1,99acres,Sri Sai,Bommanahalli,,"Sri Sai, Bommanahalli, Bengaluru",99acres,B72548544,
B|swagath castle|babusapalaya,building,1,99acres,Swagath Castle,Babusapalaya,,"Swagath Castle, Babusapalaya, Bengaluru",99acres,F91447548,
